Claim_ID,AD_Total,TPPI_Total,TPPD_Total
1,402.33,1633.12,5991.16
2,417.68,39136549.43,6048.83
3,1037.34,720.68,6101.53
4,353.65,112.1,6149.12
5,89.85,18450.02,6045.76
6,520.17,14937.89,6100.25
7,443.76,1824.99,5836.67
8,1125.23,417.32,5986.08
9,181.84,150,5850.7
10,7148.71,3011.61,5884.95
11,1292.13,45822.43,5929.97
12,1162.99,881.88,5949.02
13,202.15,43593.81,5909.37
14,1088.75,62.07,6049.77
15,921.69,69.13,5947.26
16,208.74,10.35,6148.95
17,363.84,1480.03,5761.72
18,4806.22,9.51,5919.91
19,170.57,9541229.64,5985.59
20,224.25,1173.61,5761
21,34.29,681.36,5925.12
22,596.89,27033.87,6078.41
23,306.26,202504.53,5942.37
24,1281.76,15.97,6053.68
25,784.52,20.47,5870.23
26,2989.68,69.21,6138.74
27,484.5,139.49,5911.99
28,301.24,44890.84,6089.68
29,215.62,378.13,5808.27
30,153.13,0.31,5839.75
31,275.78,3266.14,6143.8
32,459.44,23170.12,6039.47
33,1210.69,17.66,5878.15
34,109.08,227.01,6048.19
35,212.15,8.05,6097.6
36,315.42,22.52,6097.47
37,1736.07,15245.07,5946.98
38,357.79,212826.77,5961.84
39,139.66,121705.43,6030.11
40,642.21,4607.01,5851.71
41,144.76,18.48,5892.65
42,597.54,371.84,5930.48
43,2963.25,1.97,6056.06
44,2877.7,39.55,6061.24
45,1398.1,6680.35,6062.78
46,236.61,5540.2,6107.43
47,2151.22,221.35,5825.01
48,2510.73,234656.14,5987.39
49,747.31,1119.31,5871.72
50,228.73,1403.64,6213.32
51,856.83,10361.42,6073.02
52,3066.84,348.68,5894.49
53,649.37,85791.44,6097.5
54,2290.57,6.31,6128.73
55,454.93,1783.52,5955.09
56,726.87,18358.11,5953.66
57,176.74,893.62,5803.26
58,254.37,4967.92,6016.18
59,431.01,375.92,6029.96
60,236.64,259340.66,5863.2
61,172.01,240457.6,6107.69
62,469.36,109526.7,6008.14
63,107.67,724523.39,6119.58
64,134.33,60947.52,6155.26
65,1248.85,832.57,6136.14
66,174.7,44.02,5942.31
67,1071.27,5883.64,5895.7
68,176.3,354.1,6121.16
69,161.26,9.7,5952.6
70,392.46,1796322.84,6085.01
71,1084.08,71186.32,5961.83
72,357.95,5.75,5919.56
73,722.06,150699.96,6100.76
74,857.73,2063.25,6210.66
75,172.55,302.57,6096.76
76,434.33,6105.82,6137.78
77,369.16,5964.51,6142.49
78,725.03,17057.24,6048.61
79,150.36,800.28,5769.19
80,819.42,2150.58,5825.46
81,1232.82,327.72,5866.28
82,413.87,30738.65,5965.84
83,332.24,86.04,6011.02
84,181.25,1.4,5961.33
85,185.07,24163.77,5919.57
86,616.53,32771.59,5950.49
87,246.57,4089.62,6081.5
88,95.87,7.96,6146.29
89,187.52,4832.57,5999.1
90,627.48,278.21,6025.95
